Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6,506,49855,34612,25339,0,8102,0,7141,21625,2296,11088
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com,506,49855,34612,25339,0,8102,0,7141,21625,2296,11088
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat,506,49855,34612,25339,0,8102,0,7141,21625,2296,11088
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\bind,74,7620,5197,3817,0,1212,0,1211,3378,333,1591
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\bind\serial,24,1441,950,695,0,269,0,222,755,108,516
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\bind\tuple,42,5473,3787,2783,0,825,0,861,2248,189,903
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\compat,2,761,522,370,0,105,0,134,328,9,43
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je,416,39173,27247,19956,0,6449,0,5477,17152,1891,9153
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\cleaner,21,2733,2036,1506,0,421,0,276,934,95,457
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\config,12,1067,763,565,0,179,0,125,503,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\dbi,34,3271,2303,1696,0,542,0,426,1412,154,742
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\evictor,2,89,55,41,0,22,0,12,50,9,43
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\incomp,1,46,30,21,0,11,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\latch,11,506,330,231,0,121,0,55,297,55,297
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\log,79,7346,5118,3762,0,1228,0,1000,3238,357,1715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\log\entry,16,2625,1913,1469,0,357,0,355,1053,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\recovery,13,1204,856,605,0,220,0,128,475,60,296
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests6\com\sleepycat\je\tree,63,6998,5051,3704,0,1099,0,848,2957,286,1382
